change_type,kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes,old_named_name,old_intermediary_name,old_source
added,method,com/corrodinggames/rts/game/units/h/b,(F)V,a,method_Obf_h_b_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/h/a,(F)V,a,method_Obf_h_a_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/e/j,(F)V,a,method_LandUnitBase_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/h,(F)V,a,method_Obf_h_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/g,(F)V,a,method_Obf_g_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/e/o,(F)V,a,method_Obf_e_o_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/e/n,(F)V,a,method_Obf_e_n_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/e/m,(F)V,a,method_Obf_e_m_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/e/l,(F)V,a,method_Obf_e_l_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/e/k,(F)V,a,method_Obf_e_k_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/e/h,(F)V,a,method_HoverUnitBase_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/e/i,(F)V,a,method_Obf_e_i_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/e/g,(F)V,a,method_Obf_e_g_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/e/e,(F)V,a,method_Obf_e_e_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/e/c,(F)V,a,method_Obf_e_c_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/e/f,(F)V,a,method_Obf_e_f_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/e/d,(F)V,a,method_Obf_e_d_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/e/b,(F)V,a,method_Obf_e_b_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/e/a,(F)V,a,method_Obf_e_a_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/c/a,(F)V,a,method_Obf_c_a_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/b/b,(F)V,a,method_AirUnitBase_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/b/f,(F)V,a,method_HelicopterUnit_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/b/e,(F)V,a,method_Obf_b_e_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/b/d,(F)V,a,method_Obf_b_d_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/b/c,(F)V,a,method_AmphibiousJetUnit_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/b/a,(F)V,a,method_Obf_b_a_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/e,(F)V,a,method_CrystalResourceUnit_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/d/r,(F)V,a,method_Obf_d_r_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/d/i,(F)V,a,method_Obf_d_i_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,class,com/corrodinggames/rts/game/units/d/v,,,rw/internal/game/units/d/v,rustedwarfare/internal/game/units/d/v,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,low-generic,owner class row added so hierarchy-wide lifecycle methods are present in Tiny,generic class row; semantic class name intentionally deferred,,,
added,method,com/corrodinggames/rts/game/units/d/v,(F)V,a,method_v_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/d/q,(F)V,a,method_Obf_d_q_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/d/p,(F)V,a,method_Obf_d_p_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/d/h,(F)V,a,method_Obf_d_h_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/d/g,(F)V,a,method_Obf_d_g_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/d/e,(F)V,a,method_Obf_d_e_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/d/c,(F)V,a,method_Obf_d_c_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/d/a/b,(F)V,a,method_Obf_d_a_b_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,class,com/corrodinggames/rts/game/units/d/a,,,rw/internal/game/units/d/a,rustedwarfare/internal/game/units/d/a,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,low-generic,owner class row added so hierarchy-wide lifecycle methods are present in Tiny,generic class row; semantic class name intentionally deferred,,,
added,method,com/corrodinggames/rts/game/units/d/a,(F)V,a,method_a_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,class,com/corrodinggames/rts/game/l,,,rw/internal/game/l,rustedwarfare/internal/game/l,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,low-generic,owner class row added so hierarchy-wide lifecycle methods are present in Tiny,generic class row; semantic class name intentionally deferred,,,
added,method,com/corrodinggames/rts/game/l,(F)V,a,method_l_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/gameFramework/w,(F)Z,c,method_GameObject_drawMainLayer,drawMainLayer,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager render loop calls GameObject.c(float) as the main world draw pass; boolean return controls whether the object was drawn/handled.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/gameFramework/d/f,(F)Z,c,method_f_drawMainLayer,drawMainLayer,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager render loop calls GameObject.c(float) as the main world draw pass; boolean return controls whether the object was drawn/handled.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/am,(F)Z,c,method_Unit_drawMainLayer,drawMainLayer,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager render loop calls GameObject.c(float) as the main world draw pass; boolean return controls whether the object was drawn/handled.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/al,(F)Z,c,method_TreeUnit_drawMainLayer,drawMainLayer,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager render loop calls GameObject.c(float) as the main world draw pass; boolean return controls whether the object was drawn/handled.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/ai,(F)Z,c,method_SpreadingFireUnit_drawMainLayer,drawMainLayer,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager render loop calls GameObject.c(float) as the main world draw pass; boolean return controls whether the object was drawn/handled.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/y,(F)Z,c,method_OrderableUnit_drawMainLayer,drawMainLayer,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager render loop calls GameObject.c(float) as the main world draw pass; boolean return controls whether the object was drawn/handled.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/x,(F)Z,c,method_SpecialAirUnitBase_drawMainLayer,drawMainLayer,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager render loop calls GameObject.c(float) as the main world draw pass; boolean return controls whether the object was drawn/handled.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/h/d,(F)Z,c,method_ScoutShipUnit_drawMainLayer,drawMainLayer,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager render loop calls GameObject.c(float) as the main world draw pass; boolean return controls whether the object was drawn/handled.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/h/c,(F)Z,c,method_Obf_h_c_drawMainLayer,drawMainLayer,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager render loop calls GameObject.c(float) as the main world draw pass; boolean return controls whether the object was drawn/handled.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/h/b,(F)Z,c,method_Obf_h_b_drawMainLayer,drawMainLayer,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager render loop calls GameObject.c(float) as the main world draw pass; boolean return controls whether the object was drawn/handled.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/h/a,(F)Z,c,method_Obf_h_a_drawMainLayer,drawMainLayer,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager render loop calls GameObject.c(float) as the main world draw pass; boolean return controls whether the object was drawn/handled.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/h,(F)Z,c,method_Obf_h_drawMainLayer,drawMainLayer,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager render loop calls GameObject.c(float) as the main world draw pass; boolean return controls whether the object was drawn/handled.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/g,(F)Z,c,method_Obf_g_drawMainLayer,drawMainLayer,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager render loop calls GameObject.c(float) as the main world draw pass; boolean return controls whether the object was drawn/handled.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/e/o,(F)Z,c,method_Obf_e_o_drawMainLayer,drawMainLayer,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager render loop calls GameObject.c(float) as the main world draw pass; boolean return controls whether the object was drawn/handled.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/e/n,(F)Z,c,method_Obf_e_n_drawMainLayer,drawMainLayer,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager render loop calls GameObject.c(float) as the main world draw pass; boolean return controls whether the object was drawn/handled.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/e/m,(F)Z,c,method_Obf_e_m_drawMainLayer,drawMainLayer,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager render loop calls GameObject.c(float) as the main world draw pass; boolean return controls whether the object was drawn/handled.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/e/l,(F)Z,c,method_Obf_e_l_drawMainLayer,drawMainLayer,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager render loop calls GameObject.c(float) as the main world draw pass; boolean return controls whether the object was drawn/handled.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/e/k,(F)Z,c,method_Obf_e_k_drawMainLayer,drawMainLayer,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager render loop calls GameObject.c(float) as the main world draw pass; boolean return controls whether the object was drawn/handled.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/e/g,(F)Z,c,method_Obf_e_g_drawMainLayer,drawMainLayer,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager render loop calls GameObject.c(float) as the main world draw pass; boolean return controls whether the object was drawn/handled.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/e/e,(F)Z,c,method_Obf_e_e_drawMainLayer,drawMainLayer,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager render loop calls GameObject.c(float) as the main world draw pass; boolean return controls whether the object was drawn/handled.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
