owner_official,kind,official_name,descriptor,expected_named_name,actual_named_name,present,evidence
com/corrodinggames/rts/game/units/custom/l,field,bG,Z,hasTurretLimitingAngles,hasTurretLimitingAngles,true,TurretTemplate parser reads limitingAngle; any non-negative limitingAngle sets metadata l.bG true for runtime turret-angle limit handling.
com/corrodinggames/rts/game/units/custom/l,field,ex,Z,requiresTurretTagFilterTargetCheck,requiresTurretTagFilterTargetCheck,true,CustomUnitLoader finalization scans armed turret templates and sets l.ex true when targeting cannot be decided by unit-level tags alone; CustomUnit targetability code then scans turret tag filters before accepting a target.
com/corrodinggames/rts/game/units/custom/l,field,fP,Z,hasChargeEffectImages,hasChargeEffectImages,true,TurretTemplate parser reads chargeEffectImage into turret charge-effect image field and sets l.fP true; CustomUnit rendering checks l.fP before drawing per-turret charge effect images by warmup ratio.
com/corrodinggames/rts/game/units/custom/l,field,fU,Z,hasAttachedTurretLinks,hasAttachedTurretLinks,true,TurretTemplate parser resolves attachedTo links and sets l.fU true; CustomUnit turret update code checks fU to propagate angle/timer updates to attached child turrets.
com/corrodinggames/rts/game/units/custom/ba,method,<init>,()V,<init>,<init>,true,"Constructor initializes movement, draw, explode, hold-distance, layering, and spin defaults for leg/arm templates."
com/corrodinggames/rts/game/units/custom/ba,method,a,(Lcom/corrodinggames/rts/game/units/custom/ba;)V,copyFrom,copyFrom,true,copyFrom parser branch resolves an earlier leg/arm template and calls this method to copy all declaration fields.
com/corrodinggames/rts/game/units/custom/ba,method,a,(Lcom/corrodinggames/rts/game/units/custom/ba;Lcom/corrodinggames/rts/game/units/custom/l;Lcom/corrodinggames/rts/gameFramework/utility/ab;Ljava/lang/String;ZLjava/util/ArrayList;)V,parseFromConfig,parseFromConfig,true,"Static parser reads copyFrom, x/y, hidden, image_foot/image_end/image_leg/image_middle, zoomed-out flags, hold-distance, draw-layer, and spinRate keys."
com/corrodinggames/rts/game/units/custom/j,method,aT,()I,getMainNanoTurretIndex,getMainNanoTurretIndex,true,CustomUnit.aT() returns metadata.mainNanoTurret.e or -1; metadata.mainNanoTurret is set only by [turret_*]isMainNanoTurret.
com/corrodinggames/rts/game/units/custom/j,method,a,(IF)V,addTurretAimAngle,addTurretAimAngle,true,"CustomUnit.a(int,float) increments the selected turret aim angle and, when metadata.hasAttachedTurretLinks is true, applies the same delta to attached child turrets whose attachedToIndex matches the changed turret."
com/corrodinggames/rts/game/units/y,method,aT,()I,getMainNanoTurretIndex,getMainNanoTurretIndex,true,OrderableUnit.aT() returns -1 by default; call sites use it to select a preferred nano/repair turret index and fall back when -1.
com/corrodinggames/rts/game/units/y,method,a,(IF)V,addTurretAimAngle,addTurretAimAngle,true,"OrderableUnit.a(int,float) increments cL[turretIndex].aimAngle by deltaAngle. CustomUnit overrides this to propagate the same delta to attached turret links when metadata.hasAttachedTurretLinks is true."
