kind,owner_official,official_name,descriptor,named_name,confidence,evidence,notes
field,com/corrodinggames/rts/gameFramework/e,n,Lcom/corrodinggames/rts/game/units/a;,attackModeOverride,high,issueCommand writes this UnitAttackMode into selected OrderableUnit.attackMode.,Attack mode payload.
field,com/corrodinggames/rts/gameFramework/e,z,Landroid/graphics/PointF;,buildQueueRallyPoint,high,issueCommand passes this PointF to BuildQueueHost.setBuildQueueRallyPoint for selected production buildings.,Rally point payload.
field,com/corrodinggames/rts/gameFramework/e,o,Z,clearExistingOrdersBeforeIssue,high,issueCommand clears all selected unit waypoints and passive target when true.,Set by markClearExistingOrdersBeforeIssue.
field,com/corrodinggames/rts/gameFramework/e,q,S,knownAlliedTeamMask,high,prepareAndCheckOnServer builds mask of active teams; canControlledTeamSeeCommand checks ally relation and this bit mask.,Control/visibility mask for command validation.
field,com/corrodinggames/rts/gameFramework/e,r,Z,hasSystemCommand,high,issueCommand enters system command branch when true.,System command block flag.
field,com/corrodinggames/rts/gameFramework/e,s,F,stepRateCommandValue,high,"If nonzero, issueCommand calls step-rate change with source ""command"".",System command branch value.
field,com/corrodinggames/rts/gameFramework/e,t,F,systemCommandFloatValue2,low,Serialized/deserialized as second float in system command block; no stable runtime read found in Command.issueCommand.,Generic pending stronger evidence.
field,com/corrodinggames/rts/gameFramework/e,u,I,systemActionCode,high,"issueCommand switches on code: 1 debug desync detector, 2 stress test, 5 spawn, 100 surrender, 200 quick resync.",System action selector.
field,com/corrodinggames/rts/gameFramework/e,A,Lcom/corrodinggames/rts/gameFramework/utility/m;,selectedUnitIds,high,serialize writes selected unit IDs; deserialize fills this list; resolveSelectedUnitsById resolves into selectedOrderableUnits.,ID staging list for network/replay.
field,com/corrodinggames/rts/gameFramework/e,w,Lcom/corrodinggames/rts/gameFramework/utility/m;,sharedPathCacheEntries,high,serialize writes SharedPathCacheEntry list; issueCommand assigns it to FormationGroup before applying waypoints.,Command-local path cache entries.
field,com/corrodinggames/rts/gameFramework/e,x,Z,sharedPathCachePrepared,medium,captureSharedPathCacheForCommand sets this true after collecting path cache entries.,Internal preparation marker.
field,com/corrodinggames/rts/gameFramework/e,y,Lcom/corrodinggames/rts/gameFramework/c;,commandController,high,final back-reference set in constructor and used in copyBySerialization.,Owning CommandController.
method,com/corrodinggames/rts/gameFramework/e,<init>,(Lcom/corrodinggames/rts/gameFramework/c;)V,<init>,confirmed,"Initializes defaults, selected unit lists, shared path cache list and controller back-reference.",constructor row.
method,com/corrodinggames/rts/gameFramework/e,a,()Z,areSharedPathCacheEntriesResolved,high,Iterates sharedPathCacheEntries and requires each PathRequest.pathNodes list to be non-null.,Readiness check for captured paths.
method,com/corrodinggames/rts/gameFramework/e,b,()V,captureSharedPathCacheForCommand,medium,Builds a formation group around command target and stores SharedPathCacheEntry instances.,Prepares reusable path data before command serialization.
method,com/corrodinggames/rts/gameFramework/e,c,()Lcom/corrodinggames/rts/game/n;,getTeam,high,Returns Command.team.,Accessor.
method,com/corrodinggames/rts/gameFramework/e,d,()I,getSelectedUnitReferenceCount,high,Returns selectedUnitIds.size + selectedOrderableUnits.size.,Counts unresolved plus resolved selected units.
method,com/corrodinggames/rts/gameFramework/e,e,()Z,isEmptyCommand,high,Returns true when action id is not real and selected unit reference count is zero.,Empty command guard.
method,com/corrodinggames/rts/gameFramework/e,f,()Lcom/corrodinggames/rts/gameFramework/e;,copyBySerialization,high,"Serializes into byte buffer, deserializes into a new Command, then copies scheduledFrame.",Deep-copy through serializer.
method,com/corrodinggames/rts/gameFramework/e,g,()V,freezeSelectedUnitsForSerialization,high,Moves selectedOrderableUnits references to selectedUnitIds and freezes UnitOrder target id.,Pre-network/replay preparation.
method,com/corrodinggames/rts/gameFramework/e,h,()V,markClearExistingOrdersBeforeIssue,high,Sets clearExistingOrdersBeforeIssue flag.,Affects issueCommand clearing behavior.
method,com/corrodinggames/rts/gameFramework/e,a,(FFZ)V,setAttackMoveOrderWithQueueFlag,high,"Creates UnitOrder, calls setAttackMove, writes UnitOrder.queueByPlayer flag.",Boolean stored in UnitOrder.j.
method,com/corrodinggames/rts/gameFramework/e,a,(Lcom/corrodinggames/rts/game/units/am;Z)V,setAttackTargetOrderWithQueueFlag,high,"Creates UnitOrder, calls setAttackTarget, writes UnitOrder.queueByPlayer flag.",Boolean stored in UnitOrder.j.
method,com/corrodinggames/rts/gameFramework/e,c,(Lcom/corrodinggames/rts/game/units/am;)V,setGuardTargetOrder,high,Creates UnitOrder and calls UnitOrder.setGuardTarget.,Guard command payload.
method,com/corrodinggames/rts/gameFramework/e,c,(FF)V,setPatrolOrder,high,Creates UnitOrder and calls UnitOrder.setPatrol.,Patrol command payload.
method,com/corrodinggames/rts/gameFramework/e,d,(Lcom/corrodinggames/rts/game/units/am;)V,setTouchTargetOrder,high,Creates UnitOrder and calls UnitOrder.setTouchTarget.,Touch command payload.
method,com/corrodinggames/rts/gameFramework/e,e,(Lcom/corrodinggames/rts/game/units/am;)V,setFollowTargetOrder,high,Creates UnitOrder and calls UnitOrder.setFollowTarget.,Follow command payload.
method,com/corrodinggames/rts/gameFramework/e,f,(Lcom/corrodinggames/rts/game/units/am;)V,setLoadUpTargetOrder,high,Creates UnitOrder and calls UnitOrder.setLoadUpTarget.,Load-up command payload.
method,com/corrodinggames/rts/gameFramework/e,a,(Lcom/corrodinggames/rts/game/units/a;)V,setAttackModeOverride,high,Stores UnitAttackMode enum; issueCommand copies it into selected OrderableUnit.attackMode.,Attack mode command payload.
method,com/corrodinggames/rts/gameFramework/e,a,(Landroid/graphics/PointF;)V,setBuildQueueRallyPoint,high,Stores PointF; issueCommand passes it to BuildQueueHost.setBuildQueueRallyPoint.,Rally command payload.
method,com/corrodinggames/rts/gameFramework/e,a,(Lcom/corrodinggames/rts/game/n;Lcom/corrodinggames/rts/game/n;)Z,canControlledTeamSeeCommand,high,Checks ally relation and knownAlliedTeamMask bit for target team.,Server/control visibility helper.
