action,kind,owner_official,official_name,descriptor,named_name,evidence,confidence
added,field,com/corrodinggames/rts/gameFramework/d/e,ax,[Lcom/corrodinggames/rts/gameFramework/m/ag;,alphaPaintCache,static cached paint array used by getAlphaPaint,high
added,method,com/corrodinggames/rts/gameFramework/d/e,<init>,(Lcom/corrodinggames/rts/gameFramework/d/c;)V,<init>,constructor stores engine and default template/priority/paint,high
added,method,com/corrodinggames/rts/gameFramework/d/e,a,()Lcom/corrodinggames/rts/gameFramework/m/ag;,newEffectPaint,static helper creates default effect Paint,high
added,method,com/corrodinggames/rts/gameFramework/d/e,a,(F)Lcom/corrodinggames/rts/gameFramework/m/ag;,getAlphaPaint,indexes static alphaPaintCache by normalized alpha,high
added,method,com/corrodinggames/rts/gameFramework/d/e,b,()V,deactivateAndEmitDeathEffects,"clears active flag, decrements active count, emits alsoEmitEffectsOnDeath if allowed",high
added,method,com/corrodinggames/rts/gameFramework/d/e,c,()V,reset,resets pooled EffectInstance to default values,high
added,method,com/corrodinggames/rts/gameFramework/d/e,a,(Lcom/corrodinggames/rts/gameFramework/d/e;)V,copyFrom,copies effect instance runtime fields from another instance,high
added,method,com/corrodinggames/rts/gameFramework/d/e,b,(F)V,update,"updates delay/life, animation, physics, velocity, trail effects",high
added,method,com/corrodinggames/rts/gameFramework/d/e,a,(ILcom/corrodinggames/rts/gameFramework/d/g;Landroid/graphics/Rect;)V,setSourceRectForFrame,computes image strip source rect for a frame index,high
added,method,com/corrodinggames/rts/gameFramework/d/e,a,(Lcom/corrodinggames/rts/gameFramework/l;Z)Z,draw,"draws effect instance, optionally height-shadow pass",high
